Fragrance,Name:Brand:Launched
Marshmallow,
Rosebud,Dioressence:Christian Dior:1969
Shiso,Terre d'Hermès Parfum:Hermès:2009
Jamaican Pepper,
Green tea leaves,Ange ou Démon Le Secret:Givenchy:2009
Bigarade,Arsène Lupin Dandy:Guerlain:2010
Petals,
Pear Flower,
Honey,Very Irrésistible Poesie d'un Parfum d'Hiver:Givenchy:2011
Indonesian patchouli,
Vétiver,
Rosewater,Idylle Eau Sublime:Guerlain:2011
Opopanax,
Frankincense,
Cashmere Wood,
Mint Leaves.,
Styrax (Benzoin),
Opoponax,
Jasmin sambac,
Cassie,Une Fleur de Cassie:Editions de Parfums Frederic Malle:2000-*-Amazone (original):Hermès:1974
Green Notes,Diorella:Christian Dior:1972-*-Muguet 2012:Guerlain:2012-*-Manifesto:Yves Saint Laurent:2012
Coriander,Vetiver:Guerlain:1961-*-Nu Eau de Toilette:Yves Saint Laurent:2002
Ylang Ylang,Samsara:Guerlain:1989
Driftwood,
Caraway,Hypnotic Poison:Christian Dior:1998-*-Eau de Guerlain:Guerlain:1974
Pine,
Firbalsam,
White pepper,
Curcuma,
Ylang ylang,
Balsam,
incense,
Oak moss,
Leather,
Sicilian Lemon,Cristalle Eau de Toilette:Chanel:1974-*-Cristalle Eau de Parfum:Chanel:1993-*-Diorella:Christian Dior:1972-*-Eau Sauvage Extrême (new / Intense):Christian Dior:2010
Sweet pea,Play for Her:Givenchy:2010
Red berries,La Petite Robe Noire 2012:Guerlain:2012
Turkish rose,
Elem,L'Instant d'un Eté pour Homme:Guerlain:2006
Blood orange,Escale aux Marquises:Christian Dior:2010
Pallida,
Cinnamon,Givenchy Gentleman:Givenchy:1974-*-Insensé Ultramarine Aromatic Ocean - Midnight Swim:Givenchy:2002-*-Rocabar:Hermès:1998
Cardamom.,
Almond blossoms,
Fig Leaves,Dune pour Homme:Christian Dior:1997
Blond woods,
Ambroxan,
Pimento,Habit Rouge:Guerlain:1965
Treemoss,
Absinthe,"Une Ville, un Parfum : Moscow:Guerlain:2009"
Elemi resin,
Scotch Pine,
Peony,Very Irrésistible Sensual:Givenchy:2005-*-Idylle:Guerlain:2009-*-Elle:Yves Saint Laurent:2007-*-Elle Shocking:Yves Saint Laurent:2007-*-Elle Edition Limitée 2012:Yves Saint Laurent:2012
Peppermint,Derby:Guerlain:1985
Tonka bean and musk,
Galbanum,No. 19:Chanel:1971-*-Miss Dior:Christian Dior:1947-*-Jules:Christian Dior:1980-*-Aqua Allegoria Jasminora:Guerlain:2011-*-Patou pour Homme:Jean Patou:1980
Violet Leaves,
Frozen Cocktail Accord,La Nuit de L'Homme Frozen Cologne:Yves Saint Laurent:2012
Nutmeg.,
Vanilla orchid,
Pear blossom,Eau de Dolce Vita:Christian Dior:1998
Geranium Leaves,
Coriander leaf,Givenchy Play Summer Vibrations:Givenchy:2010
Hazelnut,Habit Rouge LEau:Guerlain:2011
Aromatic,Pi:Givenchy:1999
Grapefruit,"Coco Mademoiselle:Chanel:2001-*-Chance Eau Tendre:Chanel:2010-*-Coco Noir:Chanel:2012-*-Aqua Fahrenheit:Christian Dior:2011-*-Xeryus:Givenchy:1986-*-Givenchy pour Homme Blue Label:Givenchy:2004-*-Aqua Allegoria Gentiana:Guerlain:2001-*-L'Instant d'un Eté pour Homme:Guerlain:2006-*-L'Instant d'un Eté:Guerlain:2006-*-Une Ville, un Parfum : London:Guerlain:2011-*-Shalimar Parfum Initial L'Eau:Guerlain:2012-*-Shalimar Parfum Initial L'Eau:Guerlain:2012-*-Un Jardin sur le  Nil:Hermès:2005-*-Terre d'Hermès Parfum:Hermès:2009-*-Voyageur:Jean Patou:1994-*-Baby Doll Paris:Yves Saint Laurent:1999-*-Live Jazz:Yves Saint Laurent:1998-*-Opium pour Homme Poésie de Chine Eau d'Orient:Yves Saint Laurent:2008-*-Elle Edition Limitée 2012:Yves Saint Laurent:2012"
Sandalwood,
Smoked black tea,
Hesperedic Notes,Vol de Nuit:Guerlain:1933
Bitter almond,Mon Precieux Nectar:Guerlain:2009
White peach,Play for Her:Givenchy:2010
Chinese Cypriol,
Vetiver,Eau des Merveilles:Hermès:2004
Myrtle,Antaeus:Chanel:1981
Floralzone,Géranium pour Monsieur:Editions de Parfums Frederic Malle:2009
Blood Orange Essence,Miss Dior Cherie Eau de Printemps:Christian Dior:2008
Pear tree wood,
Verbana,Philtre d'Amour:Guerlain:2000
Sambac jasmin,
Star Jasmine,
Silver Birch,
Ylang-Ylang,No. 5:Chanel:1921-*-Diorissimo:Christian Dior:1956-*-Hypnotic Poison Eau Sensuelle:Christian Dior:2011-*-Iris Poudre:Editions de Parfums Frederic Malle:2000
Limette,Aqua Allegoria Gentiana:Guerlain:2001
Calabrain Bergamot,Miss Dior Cherie Eau de Printemps:Christian Dior:2008
Green freshness,Parisienne L'Eau:Yves Saint Laurent:2012
Mandarin orange,Opium:Yves Saint Laurent:1977
Mandarin,Coco:Chanel:1984-*-Cristalle Eau de Parfum:Chanel:1993-*-Allure Homme:Chanel:1999-*-Allure Homme Sport:Chanel:2004-*-No. 19 Poudré:Chanel:2011-*-Dune pour Homme:Christian Dior:1997-*-Dior Addict Eau Fraîche:Christian Dior:2004-*-Bronze Sweet Sun:Christian Dior:Unknown-*-Granville:Christian Dior:2010-*-Miss Dior Le Parfum:Christian Dior:2012-*-Le Parfum de Thérèse:Editions de Parfums Frederic Malle:2000-*-Insensé:Givenchy:1993-*-Givenchy pour Homme:Givenchy:2002-*-Eau Torride:Givenchy:2002-*-Pi Neo:Givenchy:2008-*-Dahlia Noir:Givenchy:2011-*-Ange ou Démon Tendre:Givenchy:2008-*-Dahlia Noir Eau de Toilette:Givenchy:2012-*-Eaudemoiselle de Givenchy Bois de Oud:Givenchy:2012-*-Jicky:Guerlain:1889-*-Vetiver:Guerlain:1961-*-Love is all:Guerlain:2005-*-Les Elixirs Charnels - Floral Romantique:Guerlain:2011-*-Eau d'Orange Verte:Hermès:1979-*-Eau de Mandarine Ambrée:Hermès:2013-*-Enjoy:Jean Patou:2003-*-M7:Yves Saint Laurent:2002-*-Elle Shocking:Yves Saint Laurent:2007-*-Opium Vapeurs de Parfum:Yves Saint Laurent:2012-*-La Nuit de L'Homme Frozen Cologne:Yves Saint Laurent:2012-*-Elle Edition Limitée 2012:Yves Saint Laurent:2012
Ivy leaves,Forever and Ever Dior:Christian Dior:2006
Gentian,
Green violet,
Apricot,
Cedar,Eau des Merveilles:Hermès:2004
Powder,
Jasmin Sambac,
Cranberry,Ange ou Démon Le Secret:Givenchy:2009-*-Parisienne:Yves Saint Laurent:2009
Orris root,
Cedar Leaf,
Violet leaf,
Wild Reed,
Pink grapefruit,Eaudemoiselle de Givenchy Eau Florale:Givenchy:2012
Indian Jasmine,
Blackcurrant,Insensé:Givenchy:1993-*-Opium pour Homme:Yves Saint Laurent:1995
Star anise,Opium pour Homme Poésie de Chine Eau d'Orient:Yves Saint Laurent:2008
Water fruits,Insensé Ultramarine:Givenchy:1994
Italian winter lemon,Ange ou Démon Le Secret:Givenchy:2009
Tunisian orange blossom,
Lemon leaf,Givenchy Play Sport:Givenchy:2012
Freesia,Idylle:Guerlain:2009-*-Elle Shocking:Yves Saint Laurent:2007
Genista,
Vanilla infusion,
Sicilian Tangerine,Égoïste / L'Égoïste:Chanel:1990
Red fruits,
Iralia,
Gardenia,
Soft vanilla,
Laurel,Les Déserts d'Orient - Songe d'un Bois d'Été:Guerlain:2012
Frangipani,Coco:Chanel:1984
Pineapple,
Rosemary,Platinum Égoïste:Chanel:1993-*-Eau Sauvage:Christian Dior:1966-*-Eau Sauvage Extrême:Christian Dior:1982-*-M7:Yves Saint Laurent:2002-*-Rive Gauche pour Homme:Yves Saint Laurent:2003
Blackcurrant Leaves,Dune pour Homme:Christian Dior:1997
Pine needles,"Une Ville, un Parfum : Moscow:Guerlain:2009-*-Chypre Rouge:Serge Lutens Les Salons du Palais Royal Shiseido:2006"
Blackcurrant bud,
Peach,Cristalle Eau de Parfum:Chanel:1993-*-Diorella:Christian Dior:1972-*-Dior Addict to Life:Christian Dior:2011-*-Dahlia Noir Eau de Toilette:Givenchy:2012-*-Cruel Gardenia:Guerlain:2008-*-Joy:Jean Patou:1930
White almond,Les Elixirs Charnels - Oriental Brûlant:Guerlain:2008
Somalian Incense,
Black Pepper,Patou pour Homme:Jean Patou:1980
Blackberry,Parisienne:Yves Saint Laurent:2009-*-Parisienne L'Essentiel:Yves Saint Laurent:2011
Iris root,
Madagascar vanilla,
Lavender,Chanel Pour Monsieur Concentrée:Chanel:1989-*-Platinum Égoïste:Chanel:1993-*-Eau Sauvage Extrême:Christian Dior:1982-*-Musc Ravageur:Editions de Parfums Frederic Malle:2000-*-Petit Guerlain:Guerlain:1994-*-Aqua Allegoria Lavande Velours:Guerlain:1999-*-Héritage:Guerlain:1992-*-Rocabar:Hermès:1998-*-Patou pour Homme:Jean Patou:1980-*-Jazz:Yves Saint Laurent:1988
Amber Notes,
