Herbal,Green,Mint,Foodlike,Vanilla,Woody,Animalic,Fruity,Citrus,Floral,Spicy,Camphoraceous
Nettle Flower,Bamboo,Peppermint,Hazelnut,Vanilla infusion,Orris root,Musk Cetone,Litchi,Bitter Orange,Ylang-ylang,Cardamom,Camphor wood
Basil,Green violet,Mint Leaves,Licorice,Bourbon vanilla,Flint accord,Musk notes,Cranberry,Citrus,Centiflora Rose,Spicy Notes,0.0
Tarragon,Wood notes,Iced Mint.,Calamus,Vanilla,Somalian myrrh,White musk,Green Banana,Pink grapefruit,Bulgarian Rose,Nutmeg,0.0
Basil,Basil,Spearmint,Tobacco,Soft vanilla,Wood notes,White musks,Wild berries,Mandarin Orange,Tuscan iris,Black Thyme,0.0
Peppermint,Clover Leaf,Mint,Cactus Flesh,Hint of Vanilla,Cedarwood,Laotian Oud Essence,Coconut,Italian winter lemon,Garden Roses,Pink Pepper,0.0
Davana,Cedarwood,Hesperedic Notes,Saffron,Vanilla orchid,Sambac jasmine,Oud,Fruity notes,Tangerine,Cassie,Cascarilla,0.0
Green Mandarin,Garden Roses,Frozen Cedrat,Almond blossoms,Bourbon Vanilla,Amirys wood,Musk,Red fruits,Kumquat,Mimosa,Clove,0.0
basil,Vetiver,Bitter Lemon Peel,Ebony.,Mayotte vanilla,Woody Notes,Leather,Cherry,Mandarin orange,Freesia petals,Aniseed,0.0
Candied Fruit,Black Thyme,Candied orange,French Vanilla,Madagascar vanilla,Opopanax,Hyacinth,Citron Zest,Amalfi lemon,Lily,Pink pepper,0.0
Shiso,Blackcurrant Leaves,Lime,Cinnamon,0.0,Jacarander Wood,Tonkin Musk,Pear Flower,Italian Bergamot,Ginger Lily,Grand Vert Basil,0.0
Quince,Green Banana,Sugar and Vanilla,Apple,0.0,Sandalwood,Vetyver,Apricot,Seville Orange,White Orchid,Indonesian Patchouli,0.0
